date,region,forecast,forecast_horizon,model,forecast_lower,forecast_upper
2021-12-01,Region_1,106.83994733468695,1,ARIMA,,
2021-12-02,Region_1,108.89097370346921,2,ARIMA,,
2021-12-03,Region_1,107.43589535029629,3,ARIMA,,
2021-12-04,Region_1,108.08825792746487,4,ARIMA,,
2021-12-05,Region_1,108.31041859367477,5,ARIMA,,
2021-12-06,Region_1,108.16141928563339,6,ARIMA,,
2021-12-07,Region_1,108.17026875684233,7,ARIMA,,
2021-12-01,Region_2,62.9466600474686,1,ARIMA,,
2021-12-02,Region_2,64.60334954760712,2,ARIMA,,
2021-12-03,Region_2,65.80495346306796,3,ARIMA,,
2021-12-04,Region_2,66.60090331987432,4,ARIMA,,
2021-12-05,Region_2,67.8478615514881,5,ARIMA,,
2021-12-06,Region_2,68.29151650171573,6,ARIMA,,
2021-12-07,Region_2,69.16516599915795,7,ARIMA,,
2021-12-01,Region_3,44.138390374292044,1,ARIMA,,
2021-12-02,Region_3,43.49548174852555,2,ARIMA,,
2021-12-03,Region_3,43.64805804664657,3,ARIMA,,
2021-12-04,Region_3,43.803969558757906,4,ARIMA,,
2021-12-05,Region_3,44.913028361890674,5,ARIMA,,
2021-12-06,Region_3,44.2059092684934,6,ARIMA,,
2021-12-07,Region_3,44.381863309126665,7,ARIMA,,
2021-12-01,Region_4,41.11553800668713,1,ARIMA,,
2021-12-02,Region_4,41.266579979734175,2,ARIMA,,
2021-12-03,Region_4,42.30937799084138,3,ARIMA,,
2021-12-04,Region_4,41.55026836997057,4,ARIMA,,
2021-12-05,Region_4,42.447632546052645,5,ARIMA,,
2021-12-06,Region_4,42.1853196462278,6,ARIMA,,
2021-12-07,Region_4,42.20993931157609,7,ARIMA,,
